InsurancePlanId,Name,InsuranceCarrierId,InsuranceCarrierName
ip_1735,Dental Maintenance Organization(DMO®),ic_212,Aetna
ip_1737,Aetna Advantage™ Dental,ic_212,Aetna
ip_1738,Basic Dental,ic_212,Aetna
ip_1739,Family Preventive Dental,ic_212,Aetna
ip_1740,Discount Dental,ic_212,Aetna
ip_1741,Dental PPO/PDN,ic_212,Aetna
ip_1742,Dental EPP,ic_212,Aetna
ip_1743,Aetna HealthFund®/Aetna DentalFund®,ic_212,Aetna
ip_1745,Affordable Health Choices from Aetna,ic_212,Aetna
ip_1748,SmileMax (Administered by Careington International and Dentemax),ic_215,AIG
ip_1750,Careington Discount Dental,ic_215,AIG
ip_1756,Classic (PPO),ic_218,Ameritas
ip_1757,BlueCare PPO,ic_219,Anthem Blue Cross Blue Shield
ip_1758,Coypayment/Full Pay/Flex Dental,ic_219,Anthem Blue Cross Blue Shield
ip_1764,Assurant Dental Network PPO,ic_220,Assurant Employee Benefits
ip_1765,Assurant Focus Dental Network PPO,ic_220,Assurant Employee Benefits
ip_1766,Heritage Series,ic_220,Assurant Employee Benefits
ip_1767,Legend Series,ic_220,Assurant Employee Benefits
ip_1768,DentiCare,ic_220,Assurant Employee Benefits
ip_1769,Georgia Prepaid,ic_220,Assurant Employee Benefits
ip_1770,United Dental Care,ic_220,Assurant Employee Benefits
ip_1771,CA UDC Prepaid,ic_220,Assurant Employee Benefits
ip_1776,Multi-Care,ic_221,Careington
ip_1777,Dental & Vision Plus,ic_221,Careington
ip_1779,Care POS Plan,ic_221,Careington
ip_1780,Care Platinum POS Plan,ic_221,Careington
ip_1781,Care 500 Series Plan (PPO),ic_221,Careington
ip_1783,Cigna Dental Care HMO,ic_222,Cigna
ip_1784,Cigna Dental PPO,ic_222,Cigna
ip_1786,CIGNA Traditional (Dental Indemnity),ic_222,Cigna
ip_1787,CIGNAPlus Savings?,ic_222,Cigna
ip_1790,Delta Dental PPO Plus Premier,ic_223,Delta Dental
ip_1793,Delta Dental PPO Value Plan,ic_223,Delta Dental
ip_1794,Delta Dental Network Premier,ic_223,Delta Dental
ip_1797,Delta Dental Patient Direct,ic_223,Delta Dental
ip_1800,Delta Dental PPO,ic_223,Delta Dental
ip_1801,DeltaCare USA (HMO),ic_223,Delta Dental
ip_1804,Dental Options PPO,ic_226,Dental Benefit Providers
ip_1806,DBP Of California - UHC Dental Select DHMO,ic_226,Dental Benefit Providers
ip_1807,Dental Select DHMO - Florida,ic_226,Dental Benefit Providers
ip_1810,In Network Only PPO - INO,ic_226,Dental Benefit Providers
ip_1811,Dental Plus Vision - Dental Network Only,ic_226,Dental Benefit Providers
ip_1812,PPO,ic_226,Dental Benefit Providers
ip_1813,FL DHMO,ic_226,Dental Benefit Providers
ip_1817,MA Senior Care Options,ic_226,Dental Benefit Providers
ip_1818,DHMO CA Only,ic_226,Dental Benefit Providers
ip_1819,National PPO Network,ic_226,Dental Benefit Providers
ip_1820,TX DHMO,ic_226,Dental Benefit Providers
ip_1822,"WTU Network - MD, DC, VA",ic_226,Dental Benefit Providers
ip_1824,RI Rite Smiles,ic_226,Dental Benefit Providers
ip_1825,CA Select Managed Care Direct Compensation,ic_226,Dental Benefit Providers
ip_1826,PPO Discount Plan Network,ic_226,Dental Benefit Providers
ip_1827,CA Direct Compensation Pacific Union,ic_226,Dental Benefit Providers
ip_1828,NV Select Managed Care/NV Pacific Dental,ic_226,Dental Benefit Providers
ip_1829,MI Healthy Michigan,ic_226,Dental Benefit Providers
ip_1830,TX DHMO Select - Dallas,ic_226,Dental Benefit Providers
ip_1831,MD Primary Adult Care,ic_226,Dental Benefit Providers
ip_1832,DPPO,ic_227,Dental Network of America
ip_1833,Labor,ic_227,Dental Network of America
ip_1836,Shared,ic_227,Dental Network of America
ip_1838,Dental Solutions Value Card Program,ic_229,Dentemax
ip_1839,PPO,ic_230,Empire Blue Cross Blue Shield (Dental)
ip_1840,Dental HMO,ic_230,Empire Blue Cross Blue Shield (Dental)
ip_1841,XPO,ic_230,Empire Blue Cross Blue Shield (Dental)
ip_1842,New Dental Choice - Discount Dental Plan,ic_231,First Dental Health
ip_1843,PPO,ic_231,First Dental Health
ip_1844,EPO,ic_231,First Dental Health
ip_1845,CCPOABTF,ic_231,First Dental Health
ip_1847,Access,ic_231,First Dental Health
ip_1848,PPO & EPO,ic_231,First Dental Health
ip_1850,CONNECTION Dental Plus,ic_233,GEHA
ip_1851,Dental Access,ic_234,EmblemHealth (formerly known as GHI)
ip_1852,Preferred,ic_234,EmblemHealth (formerly known as GHI)
ip_1853,Preferred Plus,ic_234,EmblemHealth (formerly known as GHI)
ip_1854,"PPO: DentalGuard Preferred ",ic_235,Guardian
ip_1855,DentalGuard Preferred Select,ic_235,Guardian
ip_1858,First Commonwealth - Cook County - IL & IN,ic_235,Guardian
ip_1862,Managed Dental Care - CA,ic_235,Guardian
ip_1863,Managed DentalGuard - FL,ic_235,Guardian
ip_1864,Managed DentalGuard - NJ & NY,ic_235,Guardian
ip_1865,Managed DentalGuard - TX,ic_235,Guardian
ip_1866,First Commonwealth - Cook County,ic_235,Guardian
ip_1867,"Dominion Dental – For D.C., MD,PA& VA based groups ",ic_235,Guardian
ip_1868,Managed Care Panels: CapDent Panel,ic_236,Healthplex
ip_1869,Managed Care Panels: Comprehensive Panel,ic_236,Healthplex
ip_1871,Aetna Better Health Managed Long Term Care,ic_236,Healthplex
ip_1872,Horizon Centurion Dental,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1873,Horizon Dental Choice,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1874,Horizon Dental Companion,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1875,Horizon Dental Option,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1876,Horizon Dental PPO,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1877,Horizon Dental PPO Access,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1878,Horizon Dental Traditional,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1879,Horizon Individual Dental,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1880,Horizon TotalCare Dental,ic_237,Horizon Blue Cross Blue Shield of New Jersey
ip_1882,PDP,ic_239,MetLife
ip_1883,Principal Plan PPO,ic_240,Principal Financial Group
ip_1884,Exclusive Provider Organization (EPO),ic_240,Principal Financial Group
ip_1885,Large Group - Dental Net HMO,ic_241,UniCare
ip_1886,Dental PPO,ic_241,UniCare
ip_1887,UniCare Dental 100,ic_241,UniCare
ip_1888,UniCare Dental 200,ic_241,UniCare
ip_1889,UniCare Dental 300,ic_241,UniCare
ip_1890,UniCare Dental Complete 100/200/300,ic_241,UniCare
ip_1891,1199 SEIU,ic_242,Union Plans
ip_1894,DC 37,ic_242,Union Plans
ip_1896,CWA Local 1180,ic_242,Union Plans
ip_1898,International Union of Operating Engineers 17,ic_242,Union Plans
ip_1900,Teamsters Local 237,ic_242,Union Plans
ip_1901,Garage Employees Local 272,ic_242,Union Plans
ip_1902,Amalgamated Retail Insurance Fund (Local 340),ic_242,Union Plans
ip_1903,Social Service Employees Union Local 371,ic_242,Union Plans
ip_1904,Operating Engineers Local 94,ic_242,Union Plans
ip_1905,Patrolmen's Benevolent Association PPO,ic_242,Union Plans
ip_1906,Teamsters Local 804,ic_242,Union Plans
ip_1907,Yonkers Federation of Teachers Welfare Fund,ic_242,Union Plans
ip_1908,Dental PPO,ic_243,UnitedHealthcare
ip_1911,Concordia Flex,ic_244,United Concordia
ip_1913,Concordia Access,ic_244,United Concordia
ip_1916,AGMA Health Fund Plan B,ic_242,Union Plans
ip_1917,Asbestos Workers Welfare Fund,ic_242,Union Plans
ip_1918,Assistant Deputy Wardens/Deputy Wardens,ic_242,Union Plans
ip_1919,ATE & ASEA CWA 1181 (Actives),ic_242,Union Plans
ip_1920,ATE & ASEA CWA 1181 (Retirees),ic_242,Union Plans
ip_1921,Bakery Drivers Local 194,ic_242,Union Plans
ip_1922,Bethpage Congress of Teachers,ic_242,Union Plans
ip_1923,Bricklayers - Plan A,ic_242,Union Plans
ip_1924,Bricklayers - Plan B,ic_242,Union Plans
ip_1925,Bricklayers - Retirees,ic_242,Union Plans
ip_1926,Bricklayers - Plan C - Discount Plan,ic_242,Union Plans
ip_1927,Civil Service Bar Association,ic_242,Union Plans
ip_1928,Civil Service Employees Local 806,ic_242,Union Plans
ip_1929,Correction Captains Active,ic_242,Union Plans
ip_1930,Correction Captains Assoc Annuity Fund,ic_242,Union Plans
ip_1931,Correction Captains Retirees,ic_242,Union Plans
ip_1932,CSA Active Welfare Fund,ic_242,Union Plans
ip_1933,CSA Retiree Welfare Fund,ic_242,Union Plans
ip_1934,DCC-CSA Welfare Fund,ic_242,Union Plans
ip_1935,Doctors Council Benefit Plan,ic_242,Union Plans
ip_1936,Doctors Council Retiree Welfare Fund,ic_242,Union Plans
ip_1937,Doctors Council Welfare Fund,ic_242,Union Plans
ip_1938,Drywall Tapers Insurance Funds,ic_242,Union Plans
ip_1939,Employee Benefit Plan,ic_242,Union Plans
ip_1940,Farmingdale Federation of Teachers,ic_242,Union Plans
ip_1941,General Building Laborers,ic_242,Union Plans
ip_1942,General Building Laborers' Sup Med,ic_242,Union Plans
