VisitReasonId,Name,SpecialtyId,SpecialtyName
pc_hh13DhnDuUuWvxRKYFb0Jx,Dental Cleaning,sp_98,Dentist
pc_TlZW-r06U0W3pCsIGtSI5B,Dental Consultation,sp_98,Dentist
pc_ur4dSExMqEOUnNB25lUNPB,Dental Emergency,sp_98,Dentist
pc_PvQVa8uPjk2QyKZMCwYs_B,Filling,sp_98,Dentist
pc_fsu-qCYl7064W9TZcQn0DB,Root Canal,sp_98,Dentist
pc__sbHUVqotku5msuvXKmpRh,Teeth Whitening,sp_98,Dentist
pc_bWwTFhNqIEyx26npLz8nFx,Bridge,sp_98,Dentist
pc_8kYFvKcM8EeyMwamtr2-QR,Dental Implant(s),sp_98,Dentist
pc_hhDQ180-G0yzMlYqVcAoYh,Dentures,sp_98,Dentist
pc_OchzmYSoXEumrzISaxUcax,Invisible Braces / Invisalign Consultation,sp_98,Dentist
pc_UtWV206AIE2ZHtV597KXFB,Veneer(s),sp_98,Dentist
pc_vS3W4yZutUKb6k1IuL5GFB,Gum Surgery,sp_98,Dentist
pc_rO9WvQhaQkGDvVE0pIcVTx,Retainer Installation,sp_98,Dentist
pc_FRO-18leckytNKtruw5dLR,Illness,sp_153,Primary Care Doctor
pc_0iCfHicuDk26o_352v4zeB,Annual Physical,sp_153,Primary Care Doctor
pc_Oyi-6Mn_cEOy2SLhP7YVLR,Prescription / Refill,sp_153,Primary Care Doctor
pc_K5ncyb972kmaF5rkxmvHCR,Pre-Travel Checkup,sp_153,Primary Care Doctor
pc_zZWhkaURvEGlZpSimNILaB,General Consultation,sp_153,Primary Care Doctor
pc_-maCOVIWgUGq7_BH1h5nVB,Dermatology Consultation,sp_101,Dermatologist
pc_5J3Jq6XNv0ahpoLiPBPIdB,Annual Skin Screening,sp_101,Dermatologist
pc_Dqsr1MgDoEW2bt-PMFBYMx,Acne,sp_101,Dermatologist
pc_l5U-n9IIUkCXOh2m0qdOqB,Palmoplantar Psoriasis,sp_101,Dermatologist
pc_WxicKn6KqEm8pq6wg-gnuh,Botox Treatment,sp_101,Dermatologist
pc_vT950oKYX0SJuchUgcS5DR,Filler Treatment,sp_101,Dermatologist
pc_aUDZY6t8vEOTCLFZZ_ls8x,Hair Loss,sp_101,Dermatologist
pc_PjUzcB0FkkK5awf_iHNsOR,Mohs Surgery,sp_101,Dermatologist
pc_YWAS2niyPE2v4zui4akrWB,General Eye Consultation,sp_116,Ophthalmologist
pc_XtIIIaJ2qkmCvfRfrNTCmh,Eyeglasses,sp_157,Optometrist
pc_N9DG2-nUWkCea6sSnYGBbh,Contact Lenses,sp_157,Optometrist
pc_KVhGvwi2q0edZHqy7UGNMB,Eye Infection,sp_116,Ophthalmologist
pc_peZqujk9w0iL7SblyLoIox,Eye Emergency Visit,sp_116,Ophthalmologist
pc_X5xIx_dVeU61AtrSmZfT5R,Glaucoma Consultation,sp_116,Ophthalmologist
pc__whedHpypUytrXX4CjncLx,Lasik Surgery,sp_116,Ophthalmologist
pc_T1T3MOA0kUuE201i1ZfIWR,Orthopedic Consultation,sp_117,Orthopedic Surgeon
pc_wWed6YKAj0eUfnHC3x997x,Foot Problems,sp_121,Podiatrist
